@relation MyRelation

@attribute car_spec {A}
@attribute prec1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute prec2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv3_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute classe {pas_changement,remp_alif_t}

@data
A,b,H,-,-,-,m,r,b,A,pas_changement
A,n,y,-,-,-,l,m,n,A,pas_changement
A,h,b,-,-,-,t,D,h,A,pas_changement
A,h,b,-,-,-,D,r,h,A,pas_changement
A,w,l,-,-,-,n,q,w,A,pas_changement
A,w,A,-,-,-,t,w,w,A,pas_changement
A,w,S,-,-,-,n,l,w,A,pas_changement
A,h,E,-,-,-,m,t,h,A,pas_changement
A,h,n,-,-,-,>,n,h,A,pas_changement
A,h,n,-,-,-,k,A,h,A,pas_changement
A,n,m,-,-,-,m,n,n,A,pas_changement
A,h,l,-,-,-,r,j,h,A,pas_changement
A,'\'',A,-,-,-,s,w,'\'',A,pas_changement
A,w,n,-,-,-,k,A,w,A,pas_changement
A,n,f,-,-,-,D,y,n,A,pas_changement
A,*,h,-,-,-,h,*,*,A,pas_changement
A,l,h,-,-,-,>,h,l,A,pas_changement
A,l,h,-,-,-,s,h,l,A,pas_changement
A,w,l,-,-,-,n,H,w,A,pas_changement
A,w,y,-,-,-,n,H,w,A,pas_changement
A,n,d,-,-,-,l,b,n,A,pas_changement
A,*,<,-,-,-,<,*,*,A,pas_changement
A,n,A,-,-,-,b,H,n,A,pas_changement
A,w,y,-,-,-,n,H,w,A,pas_changement
A,w,y,-,-,-,w,n,w,A,pas_changement
A,n,'}',-,-,-,$,h,n,A,pas_changement
A,n,l,-,-,-,r,j,n,A,pas_changement
A,w,T,-,-,-,s,q,w,A,pas_changement
A,w,m,-,-,-,n,j,w,A,pas_changement
A,l,w,-,-,-,>,w,l,A,pas_changement
A,m,-,-,-,-,m,A,m,A,pas_changement
A,w,H,-,-,-,*,b,w,A,pas_changement
A,h,r,-,-,-,E,m,h,A,pas_changement
A,n,t,-,-,-,j,A,n,A,pas_changement
A,n,H,-,-,-,>,H,n,A,pas_changement
A,h,A,-,-,-,m,E,h,A,pas_changement
A,w,A,-,-,-,t,r,w,A,pas_changement
A,*,h,-,-,-,l,h,*,A,pas_changement
A,E,w,-,-,-,x,$,E,A,pas_changement
A,w,y,-,-,-,n,E,w,A,pas_changement
A,n,|,-,-,-,|,n,n,A,pas_changement
A,w,m,-,-,-,n,t,w,A,pas_changement
A,w,d,-,-,-,n,b,w,A,pas_changement
A,w,E,-,-,-,A,l,w,A,pas_changement
A,m,y,-,-,-,k,y,m,A,pas_changement
A,w,r,-,-,-,n,t,w,A,pas_changement
A,n,A,-,-,-,s,l,n,A,pas_changement
A,r,y,-,-,-,n,S,r,A,pas_changement
A,l,-,-,-,-,l,A,l,A,pas_changement
A,w,E,-,-,-,n,r,w,A,pas_changement
A,w,r,-,-,-,n,n,w,A,pas_changement
A,w,j,-,-,-,n,x,w,A,pas_changement
A,h,n,-,-,-,m,n,h,A,pas_changement
A,w,S,-,-,-,n,$,w,A,pas_changement
A,h,y,-,-,-,f,y,h,A,pas_changement
A,h,r,-,-,-,n,t,h,A,pas_changement
A,n,A,-,-,-,x,l,n,A,pas_changement
A,w,l,-,-,-,n,w,w,A,pas_changement
A,y,-,-,-,-,y,A,y,A,pas_changement
A,n,d,-,-,-,b,l,n,A,pas_changement
A,m,y,-,-,-,d,y,m,A,pas_changement
A,w,t,-,-,-,*,k,w,A,pas_changement
A,d,j,-,-,-,j,d,d,A,pas_changement
A,w,v,-,-,-,b,E,w,A,pas_changement
A,n,l,-,-,-,l,n,n,A,pas_changement
A,w,l,-,-,-,q,A,w,A,pas_changement
A,w,f,-,-,-,n,$,w,A,pas_changement
A,h,l,-,-,-,l,h,h,A,pas_changement
A,w,r,-,-,-,y,s,w,A,pas_changement
A,w,j,-,-,-,t,x,w,A,pas_changement
A,y,A,-,-,-,h,*,y,A,pas_changement
A,w,r,-,-,-,n,f,w,A,pas_changement
A,n,E,-,-,-,m,t,n,A,pas_changement
A,b,y,-,-,-,t,q,b,A,pas_changement
A,y,A,-,-,-,m,E,y,A,pas_changement
A,n,h,-,-,-,l,h,n,A,pas_changement
A,n,H,-,-,-,n,H,n,A,pas_changement
A,n,t,-,-,-,b,l,n,A,pas_changement
A,w,n,-,-,-,n,k,w,A,pas_changement
A,d,A,-,-,-,z,A,d,A,pas_changement
A,m,h,-,-,-,m,h,m,A,pas_changement
A,w,l,-,-,-,y,t,w,A,pas_changement
A,w,y,-,-,-,y,j,w,A,pas_changement
A,w,l,-,-,-,y,q,w,A,pas_changement
A,y,w,-,-,-,x,w,y,A,pas_changement
A,w,j,-,-,-,n,l,w,A,pas_changement
A,h,y,-,-,-,E,l,h,A,pas_changement
A,h,d,-,-,-,E,n,h,A,pas_changement
A,w,y,-,-,-,n,m,w,A,pas_changement
A,n,E,-,-,-,s,m,n,A,pas_changement
A,m,m,-,-,-,m,m,m,A,pas_changement
A,w,l,-,-,-,n,w,w,A,pas_changement
A,*,k,-,-,-,k,*,*,A,pas_changement
A,n,H,-,-,-,w,>,n,A,pas_changement
A,w,T,-,-,-,n,h,w,A,pas_changement
A,w,b,-,-,-,n,H,w,A,pas_changement
A,w,b,-,-,-,w,n,w,A,pas_changement
A,w,Z,-,-,-,y,t,w,A,pas_changement
A,w,m,-,-,-,n,f,w,A,pas_changement
A,n,l,-,-,-,w,S,n,A,pas_changement
A,n,E,-,-,-,E,n,n,A,pas_changement
A,n,r,-,-,-,x,s,n,A,pas_changement
A,l,w,-,-,-,w,l,l,A,pas_changement
A,y,n,-,-,-,v,A,y,A,pas_changement
A,w,h,-,-,-,n,s,w,A,pas_changement
A,w,l,-,-,-,n,E,w,A,pas_changement
A,y,l,-,-,-,A,l,y,A,pas_changement
A,n,H,-,-,-,A,H,n,A,pas_changement
A,n,l,-,-,-,m,A,n,A,pas_changement
A,w,E,-,-,-,n,q,w,A,pas_changement
A,l,A,-,-,-,m,A,l,A,pas_changement
A,w,E,-,-,-,n,s,w,A,pas_changement
A,h,w,-,-,-,t,q,h,A,pas_changement
A,m,>,-,-,-,>,m,m,A,pas_changement
A,l,<,-,-,-,<,l,l,A,pas_changement
A,w,y,-,-,-,n,n,w,A,pas_changement
A,h,y,-,-,-,<,l,h,A,pas_changement
A,w,H,-,-,-,t,r,w,A,pas_changement
A,n,H,-,-,-,n,j,n,A,pas_changement
A,h,m,-,-,-,y,l,h,A,pas_changement
A,h,t,-,-,-,b,l,h,A,pas_changement
A,n,E,-,-,-,m,E,n,A,pas_changement
A,w,$,-,-,-,n,t,w,A,pas_changement
A,n,l,-,-,-,q,l,n,A,pas_changement
A,w,r,-,-,-,n,t,w,A,pas_changement
A,m,w,-,-,-,h,*,m,A,pas_changement
A,m,w,-,-,-,h,w,m,A,pas_changement
A,n,d,-,-,-,E,n,n,A,pas_changement
A,w,k,-,-,-,y,$,w,A,pas_changement
A,w,b,-,-,-,y,H,w,A,pas_changement
A,w,D,-,-,-,y,E,w,A,pas_changement
A,l,h,-,-,-,w,s,l,A,pas_changement
A,w,A,-,-,-,n,s,w,A,pas_changement
A,w,l,-,-,-,n,d,w,A,pas_changement
A,w,l,-,-,-,n,q,w,A,pas_changement
A,h,d,-,-,-,b,E,h,A,pas_changement
A,w,l,-,-,-,t,f,w,A,pas_changement
A,w,A,-,-,-,n,l,w,A,pas_changement
A,h,s,-,-,-,y,r,h,A,pas_changement
A,h,s,-,-,-,t,r,h,A,pas_changement
A,w,A,-,-,-,n,r,w,A,pas_changement
A,E,m,-,-,-,m,E,E,A,pas_changement
A,h,D,-,-,-,b,E,h,A,pas_changement
A,h,T,-,-,-,>,w,h,A,pas_changement
A,w,d,-,-,-,n,q,w,A,pas_changement
A,n,D,-,-,-,b,E,n,A,pas_changement
A,h,q,-,-,-,r,A,h,A,pas_changement
A,m,b,-,-,-,r,b,m,A,pas_changement
A,h,y,-,-,-,b,r,h,A,pas_changement
A,n,y,-,-,-,x,l,n,A,pas_changement
A,n,y,-,-,-,f,y,n,A,pas_changement
A,h,l,-,-,-,t,E,h,A,pas_changement
A,w,d,-,-,-,y,q,w,A,pas_changement
A,w,l,-,-,-,y,H,w,A,pas_changement
A,h,n,-,-,-,j,A,h,A,pas_changement
A,w,*,-,-,-,n,A,w,A,pas_changement
A,n,r,-,-,-,H,w,n,A,pas_changement
A,n,v,-,-,-,H,d,n,A,pas_changement
A,h,l,-,-,-,q,A,h,A,pas_changement
A,$,r,-,-,-,b,r,$,A,pas_changement
A,w,j,-,-,-,y,l,w,A,pas_changement
A,h,s,-,-,-,n,f,h,A,pas_changement
A,w,y,-,-,-,y,m,w,A,pas_changement
A,w,r,-,-,-,y,n,w,A,pas_changement
A,*,A,-,-,-,A,*,*,A,pas_changement
A,w,r,-,-,-,t,E,w,A,pas_changement
A,w,m,-,-,-,y,s,w,A,pas_changement
A,m,b,-,-,-,b,m,m,A,pas_changement
A,l,w,-,-,-,A,w,l,A,pas_changement
A,E,y,-,-,-,s,r,E,A,pas_changement
A,w,y,-,-,-,n,j,w,A,pas_changement
A,h,l,-,-,-,t,s,h,A,pas_changement
A,y,S,-,-,-,$,x,y,A,pas_changement
A,w,x,-,-,-,n,A,w,A,pas_changement
A,m,A,-,-,-,t,m,m,A,pas_changement
A,h,t,-,-,-,j,r,h,A,pas_changement
A,n,w,-,-,-,y,q,n,A,pas_changement
A,n,y,-,-,-,w,l,n,A,pas_changement
A,w,y,-,-,-,n,q,w,A,pas_changement
A,w,b,-,-,-,n,r,w,A,pas_changement
A,w,t,-,-,-,t,f,w,A,pas_changement
A,n,E,-,-,-,t,r,n,A,pas_changement
A,m,l,-,-,-,l,m,m,A,pas_changement
A,n,y,-,-,-,j,y,n,A,pas_changement
A,h,l,-,-,-,y,H,h,A,pas_changement
A,h,t,-,-,-,w,q,h,A,pas_changement
A,'\'',A,-,-,-,b,n,'\'',A,pas_changement
A,w,E,-,-,-,n,T,w,A,pas_changement
A,D,y,-,-,-,>,y,D,A,pas_changement
A,y,n,-,-,-,A,l,y,A,pas_changement
A,r,x,-,-,-,m,&,r,A,pas_changement
A,w,n,-,-,-,l,t,w,A,pas_changement
A,j,-,-,-,-,j,A,j,A,pas_changement
A,l,l,-,-,-,A,l,l,A,pas_changement
A,k,A,-,-,-,h,A,k,A,pas_changement
A,r,d,-,-,-,d,r,r,A,pas_changement
A,n,h,-,-,-,h,n,n,A,pas_changement
A,w,d,-,-,-,n,z,w,A,pas_changement
A,w,q,-,-,-,n,E,w,A,pas_changement
A,w,q,-,-,-,n,x,w,A,pas_changement
A,n,A,-,-,-,h,A,n,A,pas_changement
A,n,y,-,-,-,E,T,n,A,pas_changement
A,m,w,-,-,-,A,n,m,A,pas_changement
A,w,l,-,-,-,A,n,w,A,pas_changement
A,h,d,-,-,-,q,A,h,A,pas_changement
A,h,w,-,-,-,n,x,h,A,pas_changement
A,*,k,-,-,-,b,k,*,A,pas_changement
A,y,m,-,-,-,r,s,y,A,pas_changement
A,w,q,-,-,-,t,w,w,A,pas_changement
A,w,r,-,-,-,y,S,w,A,pas_changement
A,w,q,-,-,-,n,w,w,A,pas_changement
A,w,A,-,-,-,n,t,w,A,pas_changement
A,h,t,-,-,-,w,j,h,A,pas_changement
A,w,m,-,-,-,t,t,w,A,pas_changement
A,w,n,-,-,-,f,A,w,A,pas_changement
A,w,m,-,-,-,f,A,w,A,pas_changement
A,h,r,-,-,-,g,y,h,A,pas_changement
A,w,j,-,-,-,y,x,w,A,pas_changement
A,k,y,-,-,-,b,E,k,A,pas_changement
A,w,E,-,-,-,>,r,w,A,pas_changement
A,w,m,-,-,-,y,f,w,A,pas_changement
A,w,r,-,-,-,n,g,w,A,pas_changement
A,n,f,-,-,-,m,w,n,A,pas_changement
A,w,T,-,-,-,h,b,w,A,pas_changement
A,h,t,-,-,-,m,s,h,A,pas_changement
A,k,h,-,-,-,h,k,k,A,pas_changement
A,m,b,-,-,-,l,r,m,A,pas_changement
A,y,*,-,-,-,h,A,y,A,pas_changement
