@relation MyRelation

@attribute car_spec {l}
@attribute prec1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute prec2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv3_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute classe {ajout_esp,ajout_esp_rempwh,rempwh}

@data
l,H,k,y,-,-,n,k,l,y,ajout_esp
l,A,w,y,-,-,n,k,l,y,ajout_esp
l,H,k,y,-,-,t,k,l,y,ajout_esp
l,A,w,y,-,-,t,k,l,y,ajout_esp
l,H,k,y,-,-,y,k,l,y,ajout_esp
l,t,y,y,-,-,k,H,l,y,ajout_esp
l,A,n,y,-,-,k,H,l,y,ajout_esp
l,A,w,y,-,-,k,H,l,y,ajout_esp
l,H,k,y,-,-,k,H,l,y,ajout_esp
l,t,H,y,-,-,k,H,l,y,ajout_esp
l,A,w,y,-,-,k,H,l,y,ajout_esp
l,S,g,y,-,-,n,g,l,y,ajout_esp
l,A,w,y,-,-,n,g,l,y,ajout_esp
l,S,g,y,-,-,t,g,l,y,ajout_esp
l,A,w,y,-,-,t,g,l,y,ajout_esp
l,S,g,y,-,-,y,g,l,y,ajout_esp
l,A,w,y,-,-,y,g,l,y,ajout_esp
l,t,y,y,-,-,g,S,l,y,ajout_esp
l,A,n,y,-,-,g,S,l,y,ajout_esp
l,A,w,y,-,-,g,S,l,y,ajout_esp
l,S,g,y,-,-,g,S,l,y,ajout_esp
l,t,S,y,-,-,g,S,l,y,ajout_esp
l,A,w,y,-,-,g,S,l,y,ajout_esp
l,$,g,y,-,-,n,g,l,y,ajout_esp
l,A,w,y,-,-,n,g,l,y,ajout_esp
l,$,g,y,-,-,t,g,l,y,ajout_esp
l,A,w,y,-,-,t,g,l,y,ajout_esp
l,$,g,y,-,-,y,g,l,y,ajout_esp
l,A,w,y,-,-,y,g,l,y,ajout_esp
l,t,y,y,-,-,g,$,l,y,ajout_esp
l,A,n,y,-,-,g,$,l,y,ajout_esp
l,A,w,y,-,-,g,$,l,y,ajout_esp
l,$,g,y,-,-,g,$,l,y,ajout_esp
l,t,$,y,-,-,g,$,l,y,ajout_esp
l,A,w,y,-,-,g,$,l,y,ajout_esp
l,k,$,y,-,-,n,$,l,y,ajout_esp
l,A,w,y,-,-,n,$,l,y,ajout_esp
l,k,$,y,-,-,t,$,l,y,ajout_esp
l,A,w,y,-,-,t,$,l,y,ajout_esp
