@relation MyRelation

@attribute car_spec {$}
@attribute prec1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute prec2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv3_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute classe {ajout_esp,ajout_alif_ajout_esp}

@data
$,A,-,n,k,H,A,$,k,H,ajout_esp
$,A,-,n,k,H,A,$,w,A,ajout_esp
$,A,-,t,k,H,A,$,k,H,ajout_esp
$,A,-,t,k,H,A,$,w,A,ajout_esp
$,A,-,y,k,H,A,$,k,H,ajout_esp
$,A,-,k,H,y,A,$,y,t,ajout_esp
$,A,-,k,H,y,A,$,n,A,ajout_esp
$,A,-,k,H,y,A,$,w,A,ajout_esp
$,A,-,k,H,-,A,$,k,H,ajout_esp
$,A,-,k,H,t,A,$,H,t,ajout_esp
$,A,-,k,H,w,A,$,w,A,ajout_esp
$,A,-,n,g,S,A,$,g,S,ajout_esp
$,A,-,n,g,S,A,$,w,A,ajout_esp
$,A,-,t,g,S,A,$,g,S,ajout_esp
$,A,-,t,g,S,A,$,w,A,ajout_esp
$,A,-,y,g,S,A,$,g,S,ajout_esp
$,A,-,y,g,S,A,$,w,A,ajout_esp
$,A,-,g,S,y,A,$,y,t,ajout_esp
$,A,-,g,S,y,A,$,n,A,ajout_esp
$,A,-,g,S,y,A,$,w,A,ajout_esp
$,A,-,g,S,-,A,$,g,S,ajout_esp
$,A,-,g,S,t,A,$,S,t,ajout_esp
$,A,-,g,S,w,A,$,w,A,ajout_esp
$,A,-,n,T,l,A,$,T,l,ajout_esp
$,A,-,n,T,l,A,$,w,A,ajout_esp
$,A,-,t,T,l,A,$,T,l,ajout_esp
$,A,-,t,T,l,A,$,w,A,ajout_esp
$,A,-,y,T,l,A,$,T,l,ajout_esp
$,A,-,y,T,l,A,$,w,A,ajout_esp
$,A,-,T,l,y,A,$,y,t,ajout_esp
$,A,-,T,l,y,A,$,n,A,ajout_esp
$,A,-,T,l,y,A,$,w,A,ajout_esp
$,A,-,T,l,-,A,$,T,l,ajout_esp
$,A,-,T,l,t,A,$,l,t,ajout_esp
$,A,-,T,l,w,A,$,w,A,ajout_esp
$,A,-,n,g,$,A,$,g,$,ajout_esp
$,A,-,n,g,$,A,$,w,A,ajout_esp
$,A,-,t,g,$,A,$,g,$,ajout_esp
$,A,-,t,g,$,A,$,w,A,ajout_esp
