@relation MyRelation

@attribute car_spec {E}
@attribute prec1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute prec2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv3_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute classe {ajout_esp,rempwh,ajout_esp_rempwh,supp_l,ajout_esp_ajout_l,ajout_esp_ajout_l_remplwh}

@data
l,T,n,l,y,-,n,T,l,y,ajout_esp
l,T,t,l,y,-,t,T,l,y,ajout_esp
l,T,y,l,y,-,y,T,l,y,ajout_esp
l,T,-,l,y,-,T,l,l,y,ajout_esp
l,w,q,l,y,-,n,q,l,y,ajout_esp
l,w,q,l,y,-,t,q,l,y,ajout_esp
l,w,q,l,y,-,y,q,l,y,ajout_esp
l,A,q,l,y,-,y,t,l,y,ajout_esp
l,A,q,l,y,-,t,t,l,y,ajout_esp
l,A,q,l,y,-,q,A,l,y,ajout_esp
l,A,q,l,y,-,t,q,l,y,ajout_esp
l,w,q,l,y,-,q,w,l,y,ajout_esp
l,>,s,l,y,-,n,s,l,y,ajout_esp
l,>,s,l,y,-,t,s,l,y,ajout_esp
l,>,s,l,y,-,y,s,l,y,ajout_esp
l,>,s,l,y,-,s,>,l,y,ajout_esp
l,>,s,l,y,-,A,s,l,y,ajout_esp
l,k,A,l,y,-,n,A,l,y,ajout_esp
l,k,A,l,y,-,t,A,l,y,ajout_esp
l,k,A,l,y,-,y,A,l,y,ajout_esp
l,k,A,l,y,-,y,t,l,y,ajout_esp
l,k,A,l,y,-,t,t,l,y,ajout_esp
l,w,k,l,y,-,k,w,l,y,ajout_esp
l,y,m,l,y,-,n,m,l,y,ajout_esp
l,y,m,l,y,-,t,m,l,y,ajout_esp
l,y,m,l,y,-,y,m,l,y,ajout_esp
l,A,m,l,y,-,m,A,l,y,ajout_esp
l,y,m,l,y,-,m,y,l,y,ajout_esp
l,H,n,l,y,-,n,H,l,y,ajout_esp
l,H,t,l,y,-,t,H,l,y,ajout_esp
l,H,y,l,y,-,y,H,l,y,ajout_esp
l,H,t,l,y,-,y,t,l,y,ajout_esp
l,H,t,l,y,-,t,t,l,y,ajout_esp
l,H,-,l,y,-,H,l,l,y,ajout_esp
l,*,n,l,y,-,n,*,l,y,ajout_esp
l,*,t,l,y,-,t,*,l,y,ajout_esp
l,*,y,l,y,-,y,*,l,y,ajout_esp
l,*,t,l,y,-,y,t,l,y,ajout_esp
l,*,t,l,y,-,t,t,l,y,ajout_esp
l,*,-,l,y,-,*,l,l,y,ajout_esp
l,b,n,l,y,-,n,b,l,y,ajout_esp
l,b,t,l,y,-,t,b,l,y,ajout_esp
l,b,y,l,y,-,y,b,l,y,ajout_esp
l,b,t,l,y,-,y,t,l,y,ajout_esp
l,b,t,l,y,-,t,t,l,y,ajout_esp
l,b,-,l,y,-,b,l,l,y,ajout_esp
l,$,n,l,y,-,n,$,l,y,ajout_esp
l,$,t,l,y,-,t,$,l,y,ajout_esp
l,$,y,l,y,-,y,$,l,y,ajout_esp
l,$,t,l,y,-,y,t,l,y,ajout_esp
l,$,t,l,y,-,t,t,l,y,ajout_esp
l,$,-,l,y,-,$,l,l,y,ajout_esp
l,x,d,l,y,-,n,d,l,y,ajout_esp
l,x,d,l,y,-,t,d,l,y,ajout_esp
l,x,d,l,y,-,y,d,l,y,ajout_esp
l,x,d,l,y,-,d,x,l,y,ajout_esp
l,x,d,l,y,-,>,d,l,y,ajout_esp
l,d,E,l,y,-,n,E,l,y,ajout_esp
l,d,E,l,y,-,t,E,l,y,ajout_esp
l,d,E,l,y,-,y,E,l,y,ajout_esp
l,d,E,l,y,-,E,d,l,y,ajout_esp
l,d,E,l,y,-,>,E,l,y,ajout_esp
l,m,E,l,y,-,n,E,l,y,ajout_esp
l,m,E,l,y,-,t,E,l,y,ajout_esp
l,m,E,l,y,-,y,E,l,y,ajout_esp
l,m,E,l,y,-,E,m,l,y,ajout_esp
l,m,E,l,y,-,>,E,l,y,ajout_esp
l,f,g,l,y,-,n,g,l,y,ajout_esp
l,f,g,l,y,-,t,g,l,y,ajout_esp
l,f,g,l,y,-,y,g,l,y,ajout_esp
l,f,g,l,y,-,g,f,l,y,ajout_esp
l,f,g,l,y,-,>,g,l,y,ajout_esp
l,m,E,l,y,-,y,t,l,y,ajout_esp
l,m,E,l,y,-,t,t,l,y,ajout_esp
l,s,g,l,y,-,n,g,l,y,ajout_esp
l,s,g,l,y,-,t,g,l,y,ajout_esp
l,s,g,l,y,-,y,g,l,y,ajout_esp
l,s,g,l,y,-,y,t,l,y,ajout_esp
l,s,g,l,y,-,t,t,l,y,ajout_esp
l,s,g,l,y,-,g,s,l,y,ajout_esp
l,s,g,l,y,-,>,g,l,y,ajout_esp
l,$,f,l,y,-,n,f,l,y,ajout_esp
l,$,f,l,y,-,t,f,l,y,ajout_esp
l,$,f,l,y,-,y,f,l,y,ajout_esp
l,$,f,l,y,-,f,$,l,y,ajout_esp
l,$,f,l,y,-,A,f,l,y,ajout_esp
l,z,n,l,y,-,n,n,l,y,ajout_esp
l,z,n,l,y,-,t,n,l,y,ajout_esp
l,z,n,l,y,-,y,n,l,y,ajout_esp
l,z,n,l,y,-,n,z,l,y,ajout_esp
l,z,n,l,y,-,A,n,l,y,ajout_esp
l,f,g,l,y,-,A,g,l,y,ajout_esp
l,b,*,l,y,-,n,*,l,y,ajout_esp
l,b,*,l,y,-,t,*,l,y,ajout_esp
l,b,*,l,y,-,y,*,l,y,ajout_esp
l,b,*,l,y,-,*,b,l,y,ajout_esp
l,b,*,l,y,-,A,*,l,y,ajout_esp
l,b,q,l,y,-,n,q,l,y,ajout_esp
l,b,q,l,y,-,t,q,l,y,ajout_esp
l,b,q,l,y,-,y,q,l,y,ajout_esp
l,b,q,l,y,-,y,t,l,y,ajout_esp
l,b,q,l,y,-,t,t,l,y,ajout_esp
l,b,q,l,y,-,q,b,l,y,ajout_esp
l,b,q,l,y,-,A,q,l,y,ajout_esp
l,t,q,l,y,-,n,q,l,y,ajout_esp
l,t,q,l,y,-,t,q,l,y,ajout_esp
l,t,q,l,y,-,y,q,l,y,ajout_esp
l,t,q,l,y,-,y,t,l,y,ajout_esp
l,t,q,l,y,-,t,t,l,y,ajout_esp
l,t,q,l,y,-,q,t,l,y,ajout_esp
l,t,q,l,y,-,>,q,l,y,ajout_esp
l,x,b,l,y,-,n,b,l,y,ajout_esp
l,x,b,l,y,-,t,b,l,y,ajout_esp
l,x,b,l,y,-,y,b,l,y,ajout_esp
l,x,b,l,y,-,b,x,l,y,ajout_esp
l,x,b,l,y,-,>,b,l,y,ajout_esp
l,S,w,l,y,-,n,w,l,y,ajout_esp
l,S,w,l,y,-,t,w,l,y,ajout_esp
l,S,w,l,y,-,y,w,l,y,ajout_esp
l,S,w,l,y,-,w,S,l,y,ajout_esp
l,S,w,l,y,-,>,w,l,y,ajout_esp
l,T,b,l,y,-,n,b,l,y,ajout_esp
l,T,b,l,y,-,t,b,l,y,ajout_esp
l,T,b,l,y,-,y,b,l,y,ajout_esp
l,T,b,l,y,-,b,T,l,y,ajout_esp
l,E,$,l,y,-,n,$,l,y,ajout_esp
l,E,$,l,y,-,t,$,l,y,ajout_esp
l,E,$,l,y,-,y,$,l,y,ajout_esp
l,E,$,l,y,-,$,E,l,y,ajout_esp
l,T,E,l,y,-,n,E,l,y,ajout_esp
l,T,E,l,y,-,t,E,l,y,ajout_esp
l,T,E,l,y,-,y,E,l,y,ajout_esp
l,m,h,l,y,-,n,h,l,y,ajout_esp
l,m,h,l,y,-,t,h,l,y,ajout_esp
l,m,h,l,y,-,y,h,l,y,ajout_esp
l,m,h,l,y,-,h,m,l,y,ajout_esp
l,S,f,l,y,-,n,f,l,y,ajout_esp
l,S,f,l,y,-,t,f,l,y,ajout_esp
l,S,f,l,y,-,y,f,l,y,ajout_esp
l,S,f,l,y,-,f,S,l,y,ajout_esp
l,h,s,l,y,-,n,s,l,y,ajout_esp
l,h,s,l,y,-,t,s,l,y,ajout_esp
l,h,s,l,y,-,y,s,l,y,ajout_esp
l,A,h,l,y,-,y,s,l,y,ajout_esp
l,A,h,l,y,-,t,s,l,y,ajout_esp
l,h,s,l,y,-,s,h,l,y,ajout_esp
l,A,h,l,y,-,s,h,l,y,ajout_esp
l,w,T,l,y,-,n,T,l,y,ajout_esp
l,w,T,l,y,-,t,T,l,y,ajout_esp
l,w,T,l,y,-,y,T,l,y,ajout_esp
l,A,w,l,y,-,y,T,l,y,ajout_esp
l,A,w,l,y,-,t,T,l,y,ajout_esp
l,w,T,l,y,-,T,w,l,y,ajout_esp
l,A,w,l,y,-,T,w,l,y,ajout_esp
l,m,k,l,y,-,n,k,l,y,ajout_esp
l,m,k,l,y,-,t,k,l,y,ajout_esp
l,m,k,l,y,-,y,k,l,y,ajout_esp
l,m,k,l,y,-,k,m,l,y,ajout_esp
l,v,m,l,y,-,n,m,l,y,ajout_esp
l,v,m,l,y,-,t,m,l,y,ajout_esp
l,v,m,l,y,-,y,m,l,y,ajout_esp
l,v,m,l,y,-,m,v,l,y,ajout_esp
l,w,H,l,y,-,n,H,l,y,ajout_esp
l,w,H,l,y,-,t,H,l,y,ajout_esp
l,w,H,l,y,-,y,H,l,y,ajout_esp
l,w,H,l,y,-,H,w,l,y,ajout_esp
l,k,w,l,y,-,n,w,l,y,ajout_esp
l,k,w,l,y,-,t,w,l,y,ajout_esp
l,k,w,l,y,-,y,w,l,y,ajout_esp
l,k,w,l,y,-,w,k,l,y,ajout_esp
l,m,H,l,y,-,n,H,l,y,ajout_esp
l,m,H,l,y,-,t,H,l,y,ajout_esp
l,m,H,l,y,-,y,H,l,y,ajout_esp
l,m,H,l,y,-,H,m,l,y,ajout_esp
l,d,b,l,y,-,n,b,l,y,ajout_esp
l,d,b,l,y,-,t,b,l,y,ajout_esp
l,d,b,l,y,-,y,b,l,y,ajout_esp
l,d,b,l,y,-,y,t,l,y,ajout_esp
l,d,b,l,y,-,t,t,l,y,ajout_esp
l,d,b,l,y,-,b,d,l,y,ajout_esp
l,H,n,l,l,y,n,H,l,y,ajout_esp
l,H,t,l,l,y,t,H,l,y,ajout_esp
l,H,y,l,l,y,y,H,l,y,ajout_esp
l,H,t,l,l,y,y,t,l,y,ajout_esp
l,H,t,l,l,y,t,t,l,y,ajout_esp
l,H,-,l,l,y,H,l,l,y,ajout_esp
l,j,s,l,y,-,n,s,l,y,ajout_esp
l,j,s,l,y,-,t,s,l,y,ajout_esp
l,j,s,l,y,-,y,s,l,y,ajout_esp
l,j,s,l,y,-,y,t,l,y,ajout_esp
l,j,s,l,y,-,t,t,l,y,ajout_esp
l,j,s,l,y,-,s,j,l,y,ajout_esp
l,w,m,l,y,-,n,m,l,y,ajout_esp
l,w,m,l,y,-,t,m,l,y,ajout_esp
l,w,m,l,y,-,y,m,l,y,ajout_esp
l,w,m,l,y,-,y,t,l,y,ajout_esp
l,w,m,l,y,-,t,t,l,y,ajout_esp
l,w,m,l,y,-,m,w,l,y,ajout_esp
l,w,>,l,y,-,n,>,l,y,ajout_esp
l,w,>,l,y,-,t,>,l,y,ajout_esp
l,w,>,l,y,-,y,>,l,y,ajout_esp
l,w,>,l,y,-,y,t,l,y,ajout_esp
l,w,>,l,y,-,t,t,l,y,ajout_esp
l,w,>,l,y,-,>,w,l,y,ajout_esp
l,t,r,l,y,-,n,r,l,y,ajout_esp
l,t,r,l,y,-,t,r,l,y,ajout_esp
l,t,r,l,y,-,y,r,l,y,ajout_esp
l,t,r,l,y,-,y,t,l,y,ajout_esp
l,t,r,l,y,-,t,t,l,y,ajout_esp
l,t,r,l,y,-,r,t,l,y,ajout_esp
l,k,$,l,y,-,n,$,l,y,ajout_esp
l,k,$,l,y,-,t,$,l,y,ajout_esp
l,k,$,l,y,-,y,$,l,y,ajout_esp
l,k,$,l,y,-,y,t,l,y,ajout_esp
l,k,$,l,y,-,t,t,l,y,ajout_esp
l,k,$,l,y,-,$,k,l,y,ajout_esp
l,m,A,l,y,-,n,j,l,y,ajout_esp
l,m,A,l,y,-,t,j,l,y,ajout_esp
l,m,A,l,y,-,y,j,l,y,ajout_esp
l,m,A,l,y,-,j,A,l,y,ajout_esp
l,w,A,l,y,-,n,H,l,y,ajout_esp
l,w,A,l,y,-,t,H,l,y,ajout_esp
l,w,A,l,y,-,y,H,l,y,ajout_esp
l,w,A,l,y,-,H,A,l,y,ajout_esp
l,b,A,l,y,-,n,q,l,y,ajout_esp
l,b,A,l,y,-,t,q,l,y,ajout_esp
l,b,A,l,y,-,y,q,l,y,ajout_esp
l,b,A,l,y,-,q,A,l,y,ajout_esp
l,q,y,l,y,-,n,r,l,y,ajout_esp
l,q,y,l,y,-,t,r,l,y,ajout_esp
l,q,y,l,y,-,y,r,l,y,ajout_esp
l,q,y,l,y,-,y,t,l,y,ajout_esp
l,q,y,l,y,-,t,t,l,y,ajout_esp
l,q,y,l,y,-,r,y,l,y,ajout_esp
l,j,n,l,y,-,n,k,l,y,ajout_esp
l,j,n,l,y,-,t,k,l,y,ajout_esp
l,j,n,l,y,-,y,k,l,y,ajout_esp
l,j,n,l,y,-,y,t,l,y,ajout_esp
l,j,n,l,y,-,t,t,l,y,ajout_esp
l,j,n,l,y,-,k,n,l,y,ajout_esp
l,b,n,l,y,-,n,q,l,y,ajout_esp
l,b,n,l,y,-,t,q,l,y,ajout_esp
l,b,n,l,y,-,y,q,l,y,ajout_esp
l,b,n,l,y,-,y,t,l,y,ajout_esp
l,b,n,l,y,-,t,t,l,y,ajout_esp
l,b,n,l,y,-,q,n,l,y,ajout_esp
l,b,w,l,y,-,n,d,l,y,ajout_esp
l,b,w,l,y,-,t,d,l,y,ajout_esp
l,b,w,l,y,-,y,d,l,y,ajout_esp
l,b,w,l,y,-,y,t,l,y,ajout_esp
l,b,w,l,y,-,t,t,l,y,ajout_esp
l,b,w,l,y,-,d,w,l,y,ajout_esp
l,k,r,l,y,-,n,s,l,y,ajout_esp
l,k,r,l,y,-,t,s,l,y,ajout_esp
l,k,r,l,y,-,y,s,l,y,ajout_esp
l,k,r,l,y,-,y,t,l,y,ajout_esp
l,k,r,l,y,-,t,t,l,y,ajout_esp
l,k,r,l,y,-,s,r,l,y,ajout_esp
l,b,t,l,y,-,n,t,l,y,ajout_esp
l,b,t,l,y,-,A,t,l,y,ajout_esp
l,x,d,l,y,-,n,t,l,y,ajout_esp
l,x,d,l,y,-,t,t,l,y,ajout_esp
l,x,d,l,y,-,y,t,l,y,ajout_esp
l,x,d,l,y,-,A,t,l,y,ajout_esp
l,T,E,l,y,-,y,t,l,y,ajout_esp
l,T,E,l,y,-,t,t,l,y,ajout_esp
l,m,H,l,y,-,n,t,l,y,ajout_esp
l,m,H,l,y,-,t,t,l,y,ajout_esp
l,m,H,l,y,-,y,t,l,y,ajout_esp
l,m,H,l,y,-,A,t,l,y,ajout_esp
l,y,x,l,y,-,n,t,l,y,ajout_esp
l,y,x,l,y,-,t,t,l,y,ajout_esp
l,y,x,l,y,-,y,t,l,y,ajout_esp
l,y,x,l,y,-,t,x,l,y,ajout_esp
l,y,x,l,y,-,A,t,l,y,ajout_esp
l,s,t,l,l,y,n,t,l,y,ajout_esp
l,s,t,l,l,y,t,t,l,y,ajout_esp
l,s,t,l,l,y,y,t,l,y,ajout_esp
l,s,t,l,l,y,t,s,l,y,ajout_esp
l,s,t,l,l,y,A,t,l,y,ajout_esp
l,d,b,l,y,-,n,t,l,y,ajout_esp
l,d,b,l,y,-,A,t,l,y,ajout_esp
l,f,k,l,y,-,n,t,l,y,ajout_esp
l,f,k,l,y,-,t,t,l,y,ajout_esp
l,f,k,l,y,-,y,t,l,y,ajout_esp
l,f,k,l,y,-,t,k,l,y,ajout_esp
l,f,k,l,y,-,A,t,l,y,ajout_esp
l,y,H,l,y,-,n,t,l,y,ajout_esp
l,y,H,l,y,-,t,t,l,y,ajout_esp
l,y,H,l,y,-,y,t,l,y,ajout_esp
l,y,H,l,y,-,t,H,l,y,ajout_esp
l,y,H,l,y,-,A,t,l,y,ajout_esp
l,w,H,l,y,-,n,t,l,y,ajout_esp
l,w,H,l,y,-,t,t,l,y,ajout_esp
l,w,H,l,y,-,y,t,l,y,ajout_esp
l,w,H,l,y,-,A,t,l,y,ajout_esp
l,t,A,l,y,-,n,t,l,y,ajout_esp
l,t,A,l,y,-,t,t,l,y,ajout_esp
