@relation MyRelation

@attribute car_spec {m}
@attribute prec1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute prec2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv3_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute classe {ajout_alif_ajout_esp,ajout_esp}

@data
m,-,-,n,k,H,m,n,H,$,ajout_alif_ajout_esp
m,-,-,t,k,H,m,t,H,$,ajout_alif_ajout_esp
m,-,-,y,k,H,m,y,H,$,ajout_alif_ajout_esp
m,-,-,k,H,y,m,k,t,$,ajout_alif_ajout_esp
m,-,-,k,H,y,m,k,A,$,ajout_alif_ajout_esp
m,-,-,k,H,$,m,k,H,$,ajout_alif_ajout_esp
m,-,-,k,H,t,m,k,t,$,ajout_alif_ajout_esp
m,-,-,n,g,S,m,n,S,$,ajout_alif_ajout_esp
m,-,-,t,g,S,m,t,S,$,ajout_alif_ajout_esp
m,-,-,y,g,S,m,y,S,$,ajout_alif_ajout_esp
m,-,-,g,S,y,m,g,t,$,ajout_alif_ajout_esp
m,-,-,g,S,y,m,g,A,$,ajout_alif_ajout_esp
m,-,-,g,S,$,m,g,S,$,ajout_alif_ajout_esp
m,-,-,g,S,t,m,g,t,$,ajout_alif_ajout_esp
m,-,-,n,T,l,m,n,l,$,ajout_alif_ajout_esp
m,-,-,t,T,l,m,t,l,$,ajout_alif_ajout_esp
m,-,-,y,T,l,m,y,l,$,ajout_alif_ajout_esp
m,-,-,T,l,y,m,T,t,$,ajout_alif_ajout_esp
m,-,-,T,l,y,m,T,A,$,ajout_alif_ajout_esp
m,-,-,T,l,$,m,T,l,$,ajout_alif_ajout_esp
m,-,-,T,l,t,m,T,t,$,ajout_alif_ajout_esp
m,-,-,n,g,$,m,n,$,$,ajout_alif_ajout_esp
m,-,-,t,g,$,m,t,$,$,ajout_alif_ajout_esp
m,-,-,y,g,$,m,y,$,$,ajout_alif_ajout_esp
m,-,-,g,$,y,m,g,t,$,ajout_alif_ajout_esp
m,-,-,g,$,y,m,g,A,$,ajout_alif_ajout_esp
m,-,-,g,$,$,m,g,$,$,ajout_alif_ajout_esp
m,-,-,g,$,t,m,g,t,$,ajout_alif_ajout_esp
m,-,-,n,$,k,m,n,k,$,ajout_alif_ajout_esp
m,-,-,t,$,k,m,t,k,$,ajout_alif_ajout_esp
m,-,-,y,$,k,m,y,k,$,ajout_alif_ajout_esp
m,-,-,$,k,y,m,$,t,$,ajout_alif_ajout_esp
