@relation MyRelation

@attribute car_spec {h}
@attribute prec1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute prec2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv3_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute classe {pas_changement,remp_h_t}

@data
h,m,s,-,-,-,n,s,m,h,pas_changement
h,t,l,-,-,-,l,E,t,h,pas_changement
h,n,>,-,-,-,>,n,n,h,pas_changement
h,m,A,-,-,-,k,l,m,h,pas_changement
h,m,A,-,-,-,A,h,m,h,pas_changement
h,n,A,-,-,-,f,A,n,h,pas_changement
h,*,h,-,-,-,h,*,*,h,pas_changement
h,y,b,-,-,-,b,y,y,h,pas_changement
h,A,t,-,-,-,m,>,A,h,pas_changement
h,f,w,-,-,-,w,w,f,h,pas_changement
h,'}',d,-,-,-,m,b,'}',h,pas_changement
h,l,l,-,-,-,A,l,l,h,pas_changement
h,y,f,-,-,-,f,y,y,h,pas_changement
h,'}',A,-,-,-,w,z,'}',h,pas_changement
h,y,l,-,-,-,E,l,y,h,pas_changement
h,y,m,-,-,-,b,m,y,h,pas_changement
h,n,<,-,-,-,f,<,n,h,pas_changement
h,E,f,-,-,-,r,f,E,h,pas_changement
h,t,d,-,-,-,m,s,t,h,pas_changement
h,$,y,-,-,-,t,E,$,h,pas_changement
h,n,>,-,-,-,l,>,n,h,pas_changement
h,n,>,-,-,-,f,>,n,h,pas_changement
h,b,A,-,-,-,A,n,b,h,pas_changement
h,S,y,-,-,-,t,$,S,h,pas_changement
h,l,$,-,-,-,f,$,l,h,pas_changement
h,s,l,-,-,-,m,j,s,h,pas_changement
h,t,r,-,-,-,d,w,t,h,pas_changement
h,n,m,-,-,-,m,n,n,h,pas_changement
h,y,A,-,-,-,r,A,y,h,pas_changement
h,w,A,-,-,-,n,r,w,h,pas_changement
h,t,b,-,-,-,r,g,t,h,pas_changement
h,y,A,-,-,-,h,*,y,h,pas_changement
h,j,m,-,-,-,b,r,j,h,pas_changement
h,f,r,-,-,-,t,E,f,h,pas_changement
h,l,-,-,-,-,l,h,l,h,pas_changement
h,d,n,-,-,-,E,n,d,h,pas_changement
h,r,y,-,-,-,t,E,r,h,pas_changement
h,m,s,-,-,-,A,s,m,h,pas_changement
h,l,A,-,-,-,A,g,l,h,pas_changement
h,t,f,-,-,-,b,S,t,h,pas_changement
