@relation MyRelation

@attribute car_spec {k}
@attribute prec1_spec {-,w}
@attribute prec2_spec {-,_}
@attribute suiv1_spec {A,_,l,-}
@attribute suiv2_spec {_,A,l,m,x,S,t,y,E,r,$,q,f,j,H,d,w,n,b,s,Z,>,g,k,z,<,T,v,h,|,D,*,-}
@attribute deb1 {k,w,_}
@attribute deb2 {A,_,l,k,w}
@attribute fin1 {A,y,H,w,d,b,m,z,r,s,E,j,f,n,k,l,T,q,S,h,D,$,x,g,|,'}',v,t,Z,>,*}
@attribute fin2 {'\'',r,p,m,t,d,l,y,n,b,s,h,f,*,E,Z,x,q,j,T,H,$,Y,k,>,w,A,v,S,z,'}',D,g}
@attribute classe {supp_esp_supp_alif,supp_esp,supp_esp_supp_lam,supp_esp_supp_lam_supp_alif,supp_esp_ajout_alif,ajout_alif}

@data
k,-,-,A,_,k,A,A,'\'',supp_esp_supp_alif
k,-,-,A,_,k,A,y,r,supp_esp_supp_alif
k,-,-,A,_,k,A,H,p,supp_esp_supp_alif
k,-,-,A,_,k,A,y,p,supp_esp_supp_alif
k,-,-,A,_,k,A,w,m,supp_esp_supp_alif
k,-,-,A,_,k,A,A,t,supp_esp_supp_alif
k,-,-,A,_,k,A,A,d,supp_esp_supp_alif
k,-,-,A,_,k,A,d,d,supp_esp_supp_alif
k,-,-,A,_,k,A,A,l,supp_esp_supp_alif
k,-,-,A,_,k,A,b,y,supp_esp_supp_alif
k,-,-,A,_,k,A,y,n,supp_esp_supp_alif
k,-,-,A,_,k,A,A,b,supp_esp_supp_alif
k,-,-,A,_,k,A,m,p,supp_esp_supp_alif
k,-,-,A,_,k,A,A,'\'',supp_esp_supp_alif
k,-,-,A,_,k,A,w,s,supp_esp_supp_alif
k,-,-,A,_,k,A,A,n,supp_esp_supp_alif
k,-,-,A,_,k,A,z,'\'',supp_esp_supp_alif
k,-,-,A,_,k,A,m,p,supp_esp_supp_alif
k,-,-,A,_,k,A,r,h,supp_esp_supp_alif
k,-,-,A,_,k,A,z,p,supp_esp_supp_alif
k,-,-,A,_,k,A,A,r,supp_esp_supp_alif
k,-,-,A,_,k,A,A,p,supp_esp_supp_alif
k,-,-,A,_,k,A,m,p,supp_esp_supp_alif
k,-,-,A,_,k,A,b,l,supp_esp_supp_alif
k,-,-,A,_,k,A,y,p,supp_esp_supp_alif
k,-,-,A,_,k,A,s,m,supp_esp_supp_alif
k,-,-,A,_,k,A,E,b,supp_esp_supp_alif
k,-,-,A,_,k,A,y,f,supp_esp_supp_alif
