الصحا الصحة
التحيا التحية
الرحما الرحمة
الحكوما الحكومة
الخبزا الخبزة
الخدما الخدمة
الحكايا الحكاية
الحاجا الحاجة
الوقفا الوقفة
الرصانا الرصانة
الحكما الحكمة
البصيرا البصيرة
الحركا الحركة
الحقيقا الحقيقة
الصيفا الصيفة
الفرصا الفرصة
الكلما الكلمة
الأزما الأزمة
الساعا الساعة
الصفا الصفة
المصلحا المصلحة
المسؤوليا المسؤولية
السلطانا السلطانة
الصورا الصورة
الوضعيا الوضعية
العزيما العزيمة
الناحيا الناحية
المصداقيا المصداقية
السياسا السياسة
الطبقا الطبقة
العشيرا العشيرة
القبيلا القبيلة
الحوما الحومة
المسألا المسألة
اللغا اللغة
اللجنا اللجنة
الموافقا الموافقة
السلسلا السلسلة
الخطا الخطة
البقيا البقية
البلاصا البلاصة
المنظوما المنظومة
الزجاجا الزجاجة
القوا القوة
التشكيلا التشكيلة
الهيئا الهيئة
المراجعا المراجعة
المصادقا المصادقة
المبادرا المبادرة
الليلا الليلة
الثورا الثورة
المدا المدة
النهايا النهاية
الجايا الجاية
الجبها الجبهة
الصناعا الصناعة
التجارا التجارة
المعارضا المعارضة
الصفحا الصفحة
الفكرا الفكرة
الأغلبيا الأغلبية
الرئاسا الرئاسة
المجموعا المجموعة
النملا النملة
البيئا البيئة
الطاولا الطاولة
الساحا الساحة
الجمعا الجمعة
البادرا البادرة
النيا النية
المساندا المساندة
العودا العودة
الامكانيا الامكانية
الندوا الندوة
الغلطا الغلطة
الدولا الدولة
النسبا النسبة
الحالا الحالة
السلطا السلطة
السفارا السفارة
الطريقا الطريقة
العدالا العدالة
البطالا البطالة
الحملا الحملة
الولاا الولاة
الصراحا الصراحة
الولايا الولاية
الحساسيا الحساسية
الجمهوريا الجمهورية
الفترا الفترة
البقعا البقعة
المعيشا المعيشة
النعما النعمة
الاخوا الاخوة
الوحدا الوحدة
المصالحا المصالحة
الدعوا الدعوة
المتابعا المتابعة
المرا المرة
الجملا الجملة
