نسوق نصوق
تسوق تصوق
يسوق يصوق
يتساق يتصاق
تتساق تتصاق
سقت صقت
سقنا صقنا
ساق صاق
ساقت صاقت
تساق تصاق
تساقت تصاقت
سوق صوق
نقسم نقصم
تقسم تقصم
يقسم يقصم
يتقسم يتقصم
تتقسم تتقصم
قسمت قصمت
قسمنا قصمنا
قسم قصم
تقسمت تقصمت
نخسر نخصر
تخسر تخصر
يخسر يخصر
يتخسر يتخصر
تتخسر تتخصر
خسرت خصرت
خسرنا خصرنا
خسر خصر
تخسرت تخصرت
نسهر نصهر
تسهر تصهر
يسهر يصهر
سهرت صهرت
سهرنا صهرنا
سهر صهر
اسهر اصهر
نسرح نصرح
تسرح تصرح
يسرح يصرح
يتسرح يتصرح
تتسرح تتصرح
سرحت صرحت
سرحنا صرحنا
سرح صرح
تسرحت تصرحت
اسرح اصرح
نسمع نصمع
تسمع تصمع
يسمع يصمع
يتسمع يتصمع
تتسمع تتصمع
سمعت صمعت
سمعنا صمعنا
سمع صمع
تسمعت تصمعت
اسمع اصمع
نسرق نصرق
تسرق تصرق
يسرق يصرق
يتسرق يتصرق
تتسرق تتصرق
سرقت صرقت
سرقنا صرقنا
سرق صرق
تسرقت تصرقت
اسرق اصرق
نمسح نمصح
تمسح تمصح
يمسح يمصح
يتمسح يتمصح
تتمسح تتمصح
مسحت مصحت
مسحنا مصحنا
مسح مصح
تمسحت تمصحت
امسح امصح
نسبق نصبق
تسبق تصبق
يسبق يصبق
يتسبق يتصبق
تتسبق تتصبق
سبقت صبقت
سبقنا صبقنا
سبق صبق
تسبقت تصبقت
اسبق اصبق
نسعى نصعى
نسعاو نصعاو
تسعى تصعى
تسعاو تصعاو
يسعى يصعى
يسعاو يصعاو
سعيت صعيت
سعينا صعينا
سعى صعى
سعات صعات
سعاو صعاو
اسعى اصعى
اسعاو اصعاو
ننسى ننصى
ننساو ننصاو
تنسى تنصى
تنساو تنصاو
ينسى ينصى
ينساو ينصاو
يتنسى يتنصى
تتنسى تتنصى
يتنساو يتنصاو
نسيت نصيت
نسينا نصينا
نسى نصى
نسات نصات
نساو نصاو
تنسات تنصات
انسى انصى
انساو انصاو
نعس نعص
تعس تعص
يعس يعص
عسيت عصيت
عسينا عصينا
عس عص
عست عصت
نحس نحص
تحس تحص
يحس يحص
حسيت حصيت
حسينا حصينا
حس حص
حست حصت
نمس نمص
تمس تمص
يمس يمص
يتمس يتمص
تتمس تتمص
مسيت مصيت
مسينا مصينا
مس مص
مست مصت
تمست تمصت
نسد نصد
تسد تصد
يسد يصد
يتسد يتصد
تتسد تتصد
سديت صديت
سدينا صدينا
سد صد
سدت صدت
تسدت تصدت
نحبس نحبص
تحبس تحبص
يحبس يحبص
يتحبس يتحبص
تتحبس تتحبص
حبست حبصت
حبسنا حبصنا
حبس حبص
تحبست تحبصت
نعكس نعكص
تعكس تعكص
يعكس يعكص
يتعكس يتعكص
تتعكس تتعكص
عكست عكصت
عكسنا عكصنا
عكس عكص
تعكست تعكصت
نغسل نغصل
تغسل تغصل
يغسل يغصل
يتغسل يتغصل
تتغسل تتغصل
غسلت غصلت
غسلنا غصلنا
غسل غصل
تغسلت تغصلت
نكسب نكصب
تكسب تكصب
يكسب يكصب
كسبت كصبت
كسبنا كصبنا
كسب كصب
اكسب اكصب
نحسد نحصد
تحسد تحصد
يحسد يحصد
حسدت حصدت
حسدنا حصدنا
حسد حصد
احسد احصد
نسجد نصجد
تسجد تصجد
يسجد يصجد
سجدت صجدت
سجدنا صجدنا
سجد صجد
اسجد اصجد
نسخف نصخف
تسخف تصخف
يسخف يصخف
سخفت صخفت
سخفنا صخفنا
سخف صخف
اسخف اصخف
نسكر نصكر
تسكر تصكر
يسكر يصكر
سكرت صكرت
سكرنا صكرنا
سكر صكر
اسكر اصكر
نسمن نصمن
تسمن تصمن
يسمن يصمن
سمنت صمنت
سمننا صمننا
سمن صمن
اسمن اصمن
نفسد نفصد
