الدنيا الدنيى
القضايا القضايى
الحمرا الحمرى
الزرقا الزرقى
الخضرا الخضرى
الصفرا الصفرى
الكاميرا الكاميرى
كحينا كحينى
غصينا غصينى
طلينا طلينى
غشينا غشينى
شكينا شكينى
طفينا طفينى
لزينا لزينى
ضرينا ضرينى
دقينا دقينى
شقينا شقينى
قصينا قصينى
رشينا رشينى
فكينا فكينى
مصينا مصينى
صبينا صبينى
حطينا حطينى
شفنا شفنى
سقنا سقنى
عمنا عمنى
قلنا قلنى
قمنا قمنى
سمنا سمنى
خننا خننى
ذقنا ذقنى
قدنا قدنى
رجعنا رجعنى
هبطنا هبطنى
حرصنا حرصنى
عرفنا عرفنى
حضرنا حضرنى
هربنا هربنى
قنعنا قنعنى
عثرنا عثرنى
كفرنا كفرنى
قعدنا قعدنى
رضعنا رضعنى
عتقنا عتقنى
قهرنا قهرنى
عشقنا عشقنى
حصرنا حصرنى
خنقنا خنقنى
عفصنا عفصنى
حرقنا حرقنى
قسمنا قسمنى
خلقنا خلقنى
خطفنا خطفنى
خلعنا خلعنى
حقرنا حقرنى
خسرنا خسرنى
قمعنا قمعنى
نقرا نقرى
تقرا تقرى
يقرا يقرى
يتقرا يتقرى
تتقرا تتقرى
قرينا قرينى
قرا قرى
ضحكنا ضحكنى
منعنا منعنى
نطقنا نطقنى
ربحنا ربحنى
فرحنا فرحنى
بزقنا بزقنى
صبرنا صبرنى
سهرنا سهرنى
لمعنا لمعنى
لحقنا لحقنى
دفعنا دفعنى
نجحنا نجحنى
فلحنا فلحنى
نفعنا نفعنى
شبعنا شبعنى
نصحنا نصحنى
ركحنا ركحنى
نطحنا نطحنى
شبهنا شبهنى
طلعنا طلعنى
لصقنا لصقنى
بعثنا بعثنى
بلعنا بلعنى
صنعنا صنعنى
سرحنا سرحنى
ضربنا ضربنى
سمعنا سمعنى
نشرنا نشرنى
لعبنا لعبنى
سرقنا سرقنى
طبعنا طبعنى
كرهنا كرهنى
ذبحنا ذبحنى
شنقنا شنقنى
مسحنا مسحنى
مضغنا مضغنى
جمعنا جمعنى
جرحنا جرحنى
رحمنا رحمنى
سبقنا سبقنى
فضحنا فضحنى
زهينا زهينى
سعينا سعينى
فضينا فضينى
حلينا حلينى
نسينا نسينى
رضينا رضينى
لقينا لقينى
نبطا نبطى
تبطا تبطى
يبطا يبطى
بطينا بطينى
بطا بطى
ابطا ابطى
نبدا نبدى
تبدا تبدى
يبدا يبدى
بدينا بدينى
بدا بدى
ابدا ابدى
نبرا نبرى
تبرا تبرى
يبرا يبرى
برينا برينى
برا برى
ابرا ابرى
خفنا خفنى
خذينا خذينى
خذا خذى
كلينا كلينى
كلا كلى
حمينا حمينى
حكينا حكينى
عطينا عطينى
هدينا هدينى
رمينا رمينى
خلينا خلينى
قضينا قضينى
زدنا زدنى
عشنا عشنى
بعنا بعنى
جبنا جبنى
طرنا طرنى
طحنا طحنى
ضعنا ضعنى
رضنا رضنى
صرنا صرنى
هجنا هجنى
غبنا غبنى
شخنا شخنى
فقنا فقنى
شبنا شبنى
ملنا ملنى
عفنا عفنى
لحينا لحينى
فدينا فدينى
عسينا عسينى
حبينا حبينى
حسينا حسينى
شدينا شدينى
هزينا هزينى
مسينا مسينى
عدينا عدينى
سدينا سدينى
لمينا لمينى
ذلينا ذلينى
بلينا بلينى
دزينا دزينى
شلينا شلينى
مشكينا مشكينى
شرجينا شرجينى
راكينا راكينى
راتينا راتينى
مشينا مشينى
جرينا جرينى
بكينا بكينى
فتينا فتينى
شرينا شرينى
نوينا نوينى
بنينا بنينى
رحينا رحينى
رخينا رخينى
غرينا غرينى
طوينا طوينى
كرينا كرينى
جينا جينى
ايجا ايجى
خرجنا خرجنى
طلبنا طلبنى
ربطنا ربطنى
وثقنا وثقنى
رقدنا رقدنى
دخلنا دخلنى
قصدنا قصدنى
نقبنا نقبنى
صدمنا صدمنى
بصمنا بصمنى
لقفنا لقفنى
شرطنا شرطنى
صرفنا صرفنى
رفضنا رفضنى
نقدنا نقدنى
فرضنا فرضنى
وفينا وفينى
حزننا حزننى
عجزنا عجزنى
عدلنا عدلنى
عملنا عملنى
غفلنا غفلنى
حرثنا حرثنى
حصدنا حصدنى
عجننا عجننى
حبسنا حبسنى
حلبنا حلبنى
عكسنا عكسنى
غسلنا غسلنى
كسبنا كسبنى
تعبنا تعبنى
حسدنا حسدنى
حلفنا حلفنى
حشمنا حشمنى
دهشنا دهشنى
بهتنا بهتنى
رعشنا رعشنى
سجدنا سجدنى
سخفنا سخفنى
سكرنا سكرنى
سمننا سمننى
حمدنا حمدنى
كبرنا كبرنى
بردنا بردنى
هجمنا هجمنى
شهدنا شهدنى
فشلنا فشلنى
حلمنا حلمنى
تهمنا تهمنى
عدمنا عدمنى
كذبنا كذبنى
نزلنا نزلنى
لهثنا لهثنى
ندمنا ندمنى
فسدنا فسدنى
سكتنا سكتنى
ذبلنا ذبلنى
بعدنا بعدنى
ركبنا ركبنى
خدمنا خدمنى
نسبنا نسبنى
رشفنا رشفنى
نعتنا نعتنى
لبسنا لبسنى
غلبنا غلبنى
حسبنا حسبنى
قبلنا قبلنى
دهننا دهننى
سكننا سكننى
جبدنا جبدنى
سلبنا سلبنى
هلكنا هلكنى
غرسنا غرسنى
كتبنا كتبنى
حبكنا حبكنى
فهمنا فهمنى
سحرنا سحرنى
ردمنا ردمنى
خربنا خربنى
دفننا دفننى
شربنا شربنى
وعدنا وعدنى
ولدنا ولدنى
ورثنا ورثنى
وصفنا وصفنى
وزننا وزننى
قتلنا قتلنى
حكمنا حكمنى
ضمننا ضمننى
غزرنا غزرنى
نكرنا نكرنى
ضعفنا ضعفنى
شكرنا شكرنى
بخلنا بخلنى
غطسنا غطسنى
غرقنا غرقنى
قلقنا قلقنى
وصلنا وصلنى
وقفنا وقفنى
عرضنا عرضنى
نشطنا نشطنى
قربنا قربنى
لطفنا لطفنى
عنقنا عنقنى
عيطنا عيطنى
وفرنا وفرنى
قررنا قررنى
ثبتنا ثبتنى
خبرنا خبرنى
بررنا بررنى
عبرنا عبرنى
بطلنا بطلنى
تبعنا تبعنى
ودعنا ودعنى
ضيعنا ضيعنى
وخرنا وخرنى
سلمنا سلمنى
نسقنا نسقنى
خططنا خططنى
قرقنا قرقنى
صعبنا صعبنى
نقصنا نقصنى
حطبنا حطبنى
فكرنا فكرنى
خلصنا خلصنى
نجمنا نجمنى
صفقنا صفقنى
ذوقنا ذوقنى
شعلنا شعلنى
فيقنا فيقنى
حيرنا حيرنى
نبهنا نبهنى
حرمنا حرمنى
دبرنا دبرنى
دمعنا دمعنى
صوتنا صوتنى
سلفنا سلفنى
طلقنا طلقنى
سيرنا سيرنى
صدقنا صدقنى
كرمنا كرمنى
خيرنا خيرنى
شرفنا شرفنى
ورطنا ورطنى
كلمنا كلمنى
طيحنا طيحنى
وجعنا وجعنى
قصرنا قصرنى
وطننا وطننى
عطلنا عطلنى
مهدنا مهدنى
صلحنا صلحنى
فسرنا فسرنى
رشحنا رشحنى
غمضنا غمضنى
قطعنا قطعنى
هملنا هملنى
لمحنا لمحنى
صورنا صورنى
خيطنا خيطنى
لقطنا لقطنى
كسرنا كسرنى
شجعنا شجعنى
خصصنا خصصنى
دربنا دربنى
علقنا علقنى
طردنا طردنى
فجرنا فجرنى
فسخنا فسخنى
نظمنا نظمنى
لخصنا لخصنى
عوضنا عوضنى
سطرنا سطرنى
قدرنا قدرنى
شوهنا شوهنى
لوحنا لوحنى
فصلنا فصلنى
روضنا روضنى
عمرنا عمرنى
طبقنا طبقنى
فوحنا فوحنى
شطبنا شطبنى
لحننا لحننى
بخرنا بخرنى
قشرنا قشرنى
خلطنا خلطنى
جبرنا جبرنى
جربنا جربنى
شخصنا شخصنى
حفرنا حفرنى
حنطنا حنطنى
رقمنا رقمنى
زرقنا زرقنى
سخننا سخننى
حطمنا حطمنى
صححنا صححنى
دمرنا دمرنى
وزعنا وزعنى
دورنا دورنى
قلعنا قلعنى
عقدنا عقدنى
مسخنا مسخنى
لقحنا لقحنى
لطخنا لطخنى
مشطنا مشطنى
سوطنا سوطنى
رصعنا رصعنى
ليعنا ليعنى
قذفنا قذفنى
سلطنا سلطنى
وسعنا وسعنى
ضيقنا ضيقنى
سهلنا سهلنى
رطبنا رطبنى
سيبنا سيبنى
وضحنا وضحنى
طولنا طولنى
نظفنا نظفنى
فرغنا فرغنى
كملنا كملنى
قطرنا قطرنى
صفينا صفينى
وصينا وصينى
عزينا عزينى
تكينا تكينى
ضحينا ضحينى
سمينا سمينى
غطينا غطينى
ربينا ربينى
نحينا نحينى
لهينا لهينى
ولينا ولينى
هنينا هنينى
هنا هنى
يطفا يطفى
تطفا تطفى
طفا طفى
ضوينا ضوينى
غنينا غنينى
ورينا ورينى
قوينا قوينى
صلينا صلينى
يتعبا يتعبى
تتعبا تتعبى
عبينا عبينى
عبا عبى
تعبا تعبى
يتخبا يتخبى
تتخبا تتخبى
خبينا خبينى
خبا خبى
تخبا تخبى
قدمنا قدمنى
خوفنا خوفنى
حسسنا حسسنى
ركزنا ركزنى
ميزنا ميزنى
خففنا خففنى
كثرنا كثرنى
لوجنا لوجنى
مثلنا مثلنى
عيشنا عيشنى
طيبنا طيبنى
حدثنا حدثنى
عرسنا عرسنى
حوسنا حوسنى
غششنا غششنى
حولنا حولنى
ثقفنا ثقفنى
حجمنا حجمنى
خممنا خممنى
رمشنا رمشنى
حمشنا حمشنى
بيننا بيننى
تلفنا تلفنى
ذكرنا ذكرنى
خلفنا خلفنى
عيننا عيننى
توجنا توجنى
فوتنا فوتنى
وكلنا وكلنى
طهرنا طهرنى
عذبنا عذبنى
حملنا حملنى
بدلنا بدلنى
طيشنا طيشنى
سودنا سودنى
قومنا قومنى
حللنا حللنى
سجلنا سجلنى
ذوبنا ذوبنى
جددنا جددنى
مولنا مولنى
دشننا دشننى
هددنا هددنى
حسننا حسننى
هتكنا هتكنى
حددنا حددنى
سممنا سممنى
هدمنا هدمنى
شيعنا شيعنى
صنفنا صنفنى
لوننا لوننى
غلفنا غلفنى
جمدنا جمدنى
بنجنا بنجنى
خبشنا خبشنى
دلكنا دلكنى
رتلنا رتلنى
حركنا حركنى
لمدنا لمدنى
زيننا زيننى
نتفنا نتفنى
عممنا عممنى
كوننا كوننى
قدسنا قدسنى
طرزنا طرزنى
قيدنا قيدنى
شكلنا شكلنى
صاحبنا صاحبنى
باركنا باركنى
حاسبنا حاسبنى
عاركنا عاركنى
خاطرنا خاطرنى
جاملنا جاملنى
شاركنا شاركنى
صارحنا صارحنى
حاولنا حاولنى
داومنا داومنى
تابعنا تابعنى
تاجرنا تاجرنى
دافعنا دافعنى
سامحنا سامحنى
قابلنا قابلنى
ساهمنا ساهمنى
عاوننا عاوننى
فاجئنا فاجئنى
سافرنا سافرنى
قاطعنا قاطعنى
شاورنا شاورنى
طالعنا طالعنى
عاقبنا عاقبنى
بالغنا بالغنى
عاودنا عاودنى
جاهدنا جاهدنى
حاربنا حاربنى
غامرنا غامرنى
عارضنا عارضنى
هاجمنا هاجمنى
كافينا كافينى
قاسينا قاسينى
نادينا نادينى
عانينا عانينى
داوينا داوينى
حافظنا حافظنى
لاحظنا لاحظنى
راجعنا راجعنى
ناقشنا ناقشنى
قارننا قارننى
باشرنا باشرنى
آمننا آمننى
يتاكسبوزا يتاكسبوزى
تتاكسبوزا تتاكسبوزى
اكسبوزينا اكسبوزينى
دامنا دامنى
دامها دامهى
تلهينا تلهينى
تحنينا تحنينى
تحمينا تحمينى
ترمينا ترمينى
تفضحنا تفضحنى
