﻿mAn mn
twA twp
tw twp
mAyp myp
Zd Dd
$nw $nwp
$nwh $nwp
$wkwn $kwn
twAly twly
>xrp AxrY
yETykwm yETykm
AlAsA*p AlAsAt*p
lwl AlAwl
lwlp AlAwlp
br$A br$p
fmp vmp
fAmA vmp
fmA vmp
fmh vmp
vmh vmp
mnw mnh
Ant Anty
<nt Anty
AntmA AntwmA
hmA hwmA
hAkp hAkh
hAk hAkh/hAky
hAkA hAkh
h*Ak h*Akh
h*Akp h*Akh
hA*Akh h*Akh
hA*AkA h*Akh
h*ykh h*ykp
hA*ykp h*ykp 
h*wkh h*wkA
h*wkwm h*wkm
h*mkh h*wkm
hA*wkm h*wkm
h*h h*y
hA*yp h*yp
hA*ykA h*ykp
hdA h*A
hA*A h*A
hdy h*y
hA*y h*y
hwA hw
h*Ay h*Ayh
h*AyA h*Ayh
hA*AyA h*Ayh
h*wm h*m
h*mA h*wmA
hA*wmA h*wmA
rAhwA rAhw
rAh  rAhy
rAhwm rAhm
mhw mAhw
mhy mAhy
mhm mAhm
Anhy AnAhy
Anhw AnAhw
Anhm AnAhm
rwHA rwHhA
rwHm rwHhm
klhwm klhm
zlAz jlAz
zzAr jzAr
mvln mvlA
>hln >hlA
Ahln AhlA
vAnyn vAnyA
mrHbn mrHbA
Efwn EfwA
b$ bA$
lHkAyp AlHkAyp
lwlAd AlAwlAd
lsA*p AlAsA*p
lwrAq AlAwrAq
lyAm AlAyAm
lHdyv AlHdyv
xzr gzr
yxzr ygzr
nxzr ngzr
xzrnA gzrnA
xzrt gzrt
xzrwA gzrwA
txzrwA tgzrwA
yxsl ygsl 	
qAtly qAlt ly
qAtlw qAlt lh
qwtly qwlt ly
qwtlw qwlt lw
qlhm qAl lhm	
qly qAl ly
qlnA qAl lnA
qlk qAl lk
qlkm qAl lkm
qlhA qAl lhA
qlw qlw/qwlh/qAlh/qAlwA 
mtE mtAE
rwHwA rwHh
Anw Anh
<nw Anh
>nw Anh
lAnw lAnh
Aly Ally
my$ mw$
m$ mw$
<ly Ally
Endhwm Endhm
mAEnthA mEnAthA
mAEnAhA mEnAhA
