مان من
توا توة
ماية مية
ظد ضد
شنو شنوة
شوكون شكون
توالي تولي
أخرة اخرى
يعطيكوم يعطيكم
الاساذة الاساتذة
لول الاول
برشا برشة
فمة ثمة
فاما ثمة
فما ثمة
ثمه ثمة
منو منه
انت انتي
انتما انتوما
هما هوما
هذاكة هذاكه
هذيكه هذيكة
هذوكه هذوكا
هذمكه هذوكا
هذوكوم هذوكم
هذه هذي
هذوم هذم
هذما هذوما
راهوا راهو
راه  راهي
راهوم راهم
مهو ماهو
مهي ماهي
مهم ماهم
انهي اناهي
انهو اناهو
انهم اناهم
روحا روحها
روحم روحهم
كلهوم كلهم
زلاز جلاز
ززار جزار
مثلن مثلا
أهلن أهلا
ثانين ثانيا
مرحبن مرحبا
عفون عفوا
بش باش
لحكاية الحكاية
لولاد الاولاد
لساذة الاساذة
لوراق الاوراق
ليام الايام
خزر غزر
يخسل يغسل
