الصحه الصحة
التحيه التحية
الرحمه الرحمة
الحكومه الحكومة
الخبزه الخبزة
الحياه الحياة
الخدمه الخدمة
الحكايه الحكاية
الحاجه الحاجة
الوقفه الوقفة
الرصانه الرصانة
الحكمه الحكمة
البصيره البصيرة
الحركه الحركة
الحقيقه الحقيقة
الصيفه الصيفة
الفرصه الفرصة
الكلمه الكلمة
الأزمه الأزمة
الساعه الساعة
الصفه الصفة
المصلحه المصلحة
المسؤوليه المسؤولية
السلطانه السلطانة
الصوره الصورة
الوضعيه الوضعية
العزيمه العزيمة
الناحيه الناحية
المصداقيه المصداقية
السياسه السياسة
الطبقه الطبقة
العشيره العشيرة
القبيله القبيلة
الحومه الحومة
المسأله المسألة
اللغه اللغة
اللجنه اللجنة
الموافقه الموافقة
السلسله السلسلة
الخطه الخطة
البقيه البقية
البلاصه البلاصة
المنظومه المنظومة
الزجاجه الزجاجة
القوه القوة
التشكيله التشكيلة
الهيئه الهيئة
المراجعه المراجعة
المصادقه المصادقة
المبادره المبادرة
الليله الليلة
الثوره الثورة
المده المدة
النهايه النهاية
الجايه الجاية
الجبهه الجبهة
الصناعه الصناعة
التجاره التجارة
المعارضه المعارضة
الصفحه الصفحة
الفكره الفكرة
الأغلبيه الأغلبية
الرئاسه الرئاسة
المجموعه المجموعة
النمله النملة
البيئه البيئة
الطاوله الطاولة
الساحه الساحة
الجمعه الجمعة
البادره البادرة
النيه النية
المسانده المساندة
العوده العودة
الامكانيه الامكانية
الندوه الندوة
الغلطه الغلطة
الدوله الدولة
النسبه النسبة
الحاله الحالة
السلطه السلطة
السفاره السفارة
الطريقه الطريقة
العداله العدالة
البطاله البطالة
الحمله الحملة
الولاه الولاة
الصراحه الصراحة
الولايه الولاية
الحساسيه الحساسية
الجمهوريه الجمهورية
الفتره الفترة
البقعه البقعة
المعيشه المعيشة
النعمه النعمة
الاخوه الاخوة
الوحده الوحدة
المصالحه المصالحة
الدعوه الدعوة
المتابعه المتابعة
المره المرة
الجمله الجملة
النتيجه النتيجة
النشره النشرة
القناه القناة
النسمه النسمة
العايله العايلة
الجريمه الجريمة
السياسيه السياسية
الخساره الخسارة
الكبيره الكبيرة
الزياره الزيارة
الزوجه الزوجة
اللحظه اللحظة
المهمه المهمة
التاريخيه التاريخية
الأرمله الأرملة
الحاكمه الحاكمة
الاستقاله الاستقالة
الصحفيه الصحفية
الخلفيه الخلفية
التقنيه التقنية
الاغلبيه الاغلبية
التسعه التسعة
الثقه الثقة
الكتله الكتلة
الخمسه الخمسة
الحريه الحرية
الكرامه الكرامة
السياده السيادة
المعروفه المعروفة
الجديده الجديدة
الهشاشه الهشاشة
القائمه القائمة
الكتابه الكتابة
المشتركه المشتركة
المطالبه المطالبة
الحمايه الحماية
الثمنيه الثمنية
الصناعيه الصناعية
الطلبه الطلبة
التلامذه التلامذة
النخبه النخبة
المسيره المسيرة
الحقوقيه الحقوقية
الأقليه الأقلية
البدايه البداية
الطائفه الطائفة
النهضه النهضة
المناسبه المناسبة
العلاقه العلاقة
الحادثه الحادثة
المضطربه المضطربة
المقاومه المقاومة
المسلحه المسلحة
المستعمره المستعمرة
العماليه العمالية
المنظمه المنظمة
الفيديراليه الفيديرالية
العالميه العالمية
الحره الحرة
الخاصه الخاصة
الرؤيه الرؤية
الفصاحه الفصاحة
الوطنيه الوطنية
التحريريه التحريرية
التقدميه التقدمية
المنزله المنزلة
المحاوله المحاولة
الشعبيه الشعبية
المستقله المستقلة
الفاجعه الفاجعة
الفاشله الفاشلة
المقربه المقربة
الدقيقه الدقيقة
العمليه العملية
الجهه الجهة
القادمه القادمة
المنطقه المنطقة
السليمه السليمة
الوخيمه الوخيمة
الزعالمه الزعالمة
العشره العشرة
الجلسه الجلسة
المصادره المصادرة
المذكوره المذكورة
الجنسيه الجنسية
العصابه العصابة
المناهضه المناهضة
اللمحه اللمحة
الإيديولوجيه الإيديولوجية
الشتويه الشتوية
النقطه النقطة
الموزعه الموزعة
السته الستة
المشاركه المشاركة
الاربعه الاربعة
الاحذيه الاحذية
الحركيه الحركية
الرجوليه الرجولية
السنه السنة
الامنيه الامنية
العاده العادة
الماكله الماكلة
المبذوله المبذولة
التجربه التجربة
الرغبه الرغبة
الاطاحه الاطاحة
الديكتاتوريه الديكتاتورية
المتشده المتشدة
البلبله البلبلة
الاهليه الاهلية
الذاكره الذاكرة
القصه القصة
الفضيعه الفضيعة
الوحيده الوحيدة
الكيفيه الكيفية
الجلطه الجلطة
الدماغيه الدماغية
الثالثه الثالثة
الضيافه الضيافة
المتحزبه المتحزبة
الساده السادة
العريضه العريضة
السريه السرية
المعلومه المعلومة
الليسته الليستة
الأجهزه الأجهزة
الموازيه الموازية
الإشاره الإشارة
العبره العبرة
العديده العديدة
المعنيه المعنية
المغلقه المغلقة
العضوه العضوة
الشبكه الشبكة
الإستقاله الإستقالة
المدونه المدونة
المتماسكه المتماسكة
المعينه المعينة
المناقشه المناقشة
الشويه الشوية
المحاصصه المحاصصة
الإستجابه الإستجابة
العركه العركة
التهمه التهمة
الموجهه الموجهة
الضجه الضجة
القضيه القضية
التاسعه التاسعة
العدليه العدلية
الخطيره الخطيرة
الفرقه الفرقة
الشرطه الشرطة
الوبره الوبرة
الفريده الفريدة
الفلاحه الفلاحة
الثانيه الثانية
الأجنبيه الأجنبية
التصفيه التصفية
الرسميه الرسمية
المقوله المقولة
الداخليه الداخلية
الإعاده الإعادة
الطبيعه الطبيعة
الوزاره الوزارة
الأربعه الأربعة
الأمنيه الأمنية
الهويه الهوية
الملاحقه الملاحقة
الجاريه الجارية
المأساه المأساة
الجماعه الجماعة
الثلاثه الثلاثة
الشخصيه الشخصية
الواضحه الواضحة
الإفاده الإفادة
الموجوده الموجودة
الهديه الهدية
الميدانيه الميدانية
الإنابه الإنابة
الجناه الجناة
العائله العائلة
المؤسسه المؤسسة
الدايره الدايرة
القانونيه القانونية
المباشره المباشرة
الفايده الفايدة
الكتابيه الكتابية
المتقدمه المتقدمة
العلنيه العلنية
المتأخره المتأخرة
المغيبه المغيبة
الشكليه الشكلية
المهنيه المهنية
السياره السيارة
الهواه الهواة
الشبهه الشبهة
السرعه السرعة
الخارجيه الخارجية
صحه صحة
تحيه تحية
نسمه نسمة
زاده زادة
رحمه رحمة
التوانسه التوانسة
خبزه خبزة
شنوه شنوة
حاجه حاجة
لوقفه لوقفة
خاصه خاصة
الحزبيه الحزبية
الضيقه الضيقة
بالرصانه بالرصانة
حركه حركة
لحركه لحركة
بصيفه بصيفة
فرصه فرصة
بأزمه بأزمة
خارقه خارقة
مسبوقه مسبوقة
أزمه أزمة
سياسيه سياسية
اجتماعيه اجتماعية
اقتصاديه اقتصادية
أمنيه أمنية
أخلاقيه أخلاقية
جسديه جسدية
متكرره متكررة
بصفه بصفة
مقنعه مقنعة
وحشيه وحشية
عامه عامة
المتضرره المتضررة
مصلحه مصلحة
هذيه هذية
بموضوعيه بموضوعية
بمسؤوليه بمسؤولية
الصعده الصعدة
كبيره كبيرة
ثمه ثمة
شويه شوية
صوره صورة
جميله جميلة
نهاره نهارة
وحده وحدة
اليومه اليومة
للوضعيه للوضعية
الاقتصاديه الاقتصادية
توانسه توانسة
مصداقيه مصداقية
الاجتماعيه الاجتماعية
هالأزمه هالأزمة
سياسه سياسة
جديده جديدة
حكومه حكومة
طبقه طبقة
مقسمه مقسمة
المشكله المشكلة
عشيره عشيرة
قبيله قبيلة
الدارجه الدارجة
مختلفه مختلفة
موجوده موجودة
هذومه هذومة
منحصره منحصرة
القاعده القاعدة
مسأله مسألة
وطنيه وطنية
توه توة
الهوه الهوة
لغه لغة
مسؤوله مسؤولة
مسؤوليه مسؤولية
مزوره مزورة
متكونه متكونة
سلسله سلسلة
جويليه جويلية
لتوه لتوة
هالنظريه هالنظرية
عزيمه عزيمة
حقيقيه حقيقية
جديه جدية
سماويه سماوية
نتيجه نتيجة
خطه خطة
مشتركه مشتركة
بقيه بقية
وخطه وخطة
واضحه واضحة
صالحه صالحة
ثلاثه ثلاثة
المحاسسه المحاسسة
للحكومه للحكومة
مستقله مستقلة
قوه قوة
كافه كافة
مستعده مستعدة
منظمه منظمة
أساسيه أساسية
مصغره مصغرة
شخصيه شخصية
هيئه هيئة
لمراجعه لمراجعة
كلمه كلمة
أخيره أخيرة
ناجحه ناجحة
مبادره مبادرة
برشه برشة
القديمه القديمة
نهايه نهاية
لنتيجه لنتيجة
التقليديه التقليدية
للمعارضه للمعارضة
جبهه جبهة
فكره فكرة
متماسكه متماسكة
أغلبيه أغلبية
ساحقه ساحقة
شيره شيرة
للرئاسه للرئاسة
مجموعه مجموعة
أنمله أنملة
سته ستة
حاده حادة
