نغص نغس
تغص تغس
يغص يغس
غصيت غسيت
غصينا غسينا
غص غس
غصت غست
نقص نقس
تقص تقس
يقص يقس
يتقص يتقس
تتقص تتقس
قصيت قسيت
قصينا قسينا
قص قس
قصت قست
تقصت تقست
نمص نمس
تمص تمس
يمص يمس
يتمص يتمس
تتمص تتمس
مصيت مسيت
مصينا مسينا
مص مس
مصت مست
تمصت تمست
نصب نسب
تصب تسب
يصب يسب
يتصب يتسب
تتصب تتسب
صبيت سبيت
صبينا سبينا
صب سب
صبت سبت
تصبت تسبت
نحرص نحرس
تحرص تحرس
يحرص يحرس
حرصت حرست
حرصنا حرسنا
حرص حرس
نحصر نحسر
تحصر تحسر
يحصر يحسر
يتحصر يتحسر
تتحصر تتحسر
حصرت حسرت
حصرنا حسرنا
حصر حسر
تحصرت تحسرت
نعفص نعفس
تعفص تعفس
يعفص يعفس
يتعفص يتعفس
تتعفص تتعفس
عفصت عفست
عفصنا عفسنا
عفص عفس
تعفصت تعفست
يتحرص يتحرس
تتحرص تتحرس
تحرصت تحرست
نصبر نسبر
تصبر تسبر
يصبر يسبر
صبرت سبرت
صبرنا سبرنا
صبر سبر
اصبر اسبر
ننصح ننسح
تنصح تنسح
ينصح ينسح
نصحت نسحت
نصحنا نسحنا
نصح نسح
انصح انسح
نلصق نلسق
تلصق تلسق
يلصق يلسق
لصقت لسقت
لصقنا لسقنا
لصق لسق
الصق السق
نصنع نسنع
تصنع تسنع
يصنع يسنع
يتصنع يتسنع
تتصنع تتسنع
صنعت سنعت
صنعنا سنعنا
صنع سنع
تصنعت تسنعت
اصنع اسنع
نصير نسير
تصير تسير
يصير يسير
صرت سرت
صرنا سرنا
صار سار
صارت سارت
صير سير
نقصد نقسد
تقصد تقسد
يقصد يقسد
قصدت قسدت
قصدنا قسدنا
قصد قسد
نصدم نسدم
تصدم تسدم
يصدم يسدم
يتصدم يتسدم
تتصدم تتسدم
صدمت سدمت
صدمنا سدمنا
صدم سدم
تصدمت تسدمت
نبصم نبسم
تبصم تبسم
يبصم يبسم
يتبصم يتبسم
تتبصم تتبسم
بصمت بسمت
بصمنا بسمنا
بصم بسم
تبصمت تبسمت
نصرف نسرف
تصرف تسرف
يصرف يسرف
يتصرف يتسرف
تتصرف تتسرف
صرفت سرفت
صرفنا سرفنا
صرف سرف
تصرفت تسرفت
يتقصد يتقسد
تتقصد تتقسد
تقصدت تقسدت
نحصد نحسد
تحصد تحسد
يحصد يحسد
يتحصد يتحسد
تتحصد تتحسد
حصدت حسدت
