@relation MyRelation

@attribute car_spec {f}
@attribute prec1_spec {-,_,w}
@attribute prec2_spec {-,_}
@attribute suiv1_spec {_,l,A,-}
@attribute suiv2_spec {A,_,m,l,x,S,t,y,E,r,$,q,f,j,H,d,w,n,b,Z,>,g,k,s,z,<,T,v,h,D,*,|,-}
@attribute suiv3_spec {l,A,m,s,_,x,y,S,H,t,w,g,E,d,r,j,$,q,n,f,z,k,b,'}',T,Z,>,h,D,<,v,&,*,|,-}
@attribute deb1 {f,_,w}
@attribute deb2 {_,l,A,f,w}
@attribute fin1 {A,y,H,w,d,b,m,z,r,s,j,f,n,k,l,T,q,S,h,D,E,$,x,g,'}',v,t,Z,>,*}
@attribute fin2 {'\'',r,p,m,t,d,l,y,n,b,s,h,*,f,E,Z,x,q,j,T,H,$,Y,k,>,w,A,v,S,z,'}',D,g}
@attribute classe {supp_esp,supp_esp_supp_lam,supp_esp_ajout_alif,ajout_alif}

@data
f,-,-,_,A,l,f,_,A,'\'',supp_esp
f,-,-,l,_,A,f,l,A,'\'',supp_esp_supp_lam
f,-,-,l,_,m,f,l,A,'\'',supp_esp_ajout_alif
f,-,-,A,l,_,f,A,A,'\'',supp_esp
f,-,-,A,l,_,f,A,y,r,supp_esp
f,-,-,_,A,l,f,_,H,p,supp_esp
f,w,-,_,A,l,w,f,b,p,supp_esp
f,w,-,l,_,A,w,f,b,p,supp_esp_supp_lam
f,w,-,l,_,t,w,f,b,p,supp_esp_ajout_alif
f,w,-,A,l,_,w,f,y,p,supp_esp
f,w,-,l,_,x,w,f,y,p,supp_esp_ajout_alif
f,w,-,l,_,A,w,f,y,p,supp_esp_supp_lam
f,w,-,_,A,l,w,f,y,p,supp_esp
f,_,-,_,A,l,_,f,A,'\'',supp_esp
f,_,-,l,_,A,_,f,A,'\'',supp_esp_supp_lam
f,_,-,l,_,m,_,f,A,'\'',supp_esp_ajout_alif
f,_,-,A,l,_,_,f,A,'\'',supp_esp
f,_,-,A,l,_,_,f,y,r,supp_esp
f,_,-,_,A,l,_,f,H,p,supp_esp
f,w,_,_,A,l,_,w,b,p,supp_esp
f,w,_,l,_,A,_,w,b,p,supp_esp_supp_lam
f,w,_,l,_,t,_,w,b,p,supp_esp_ajout_alif
f,w,_,A,l,_,_,w,y,p,supp_esp
f,w,_,l,_,x,_,w,y,p,supp_esp_ajout_alif
f,w,_,l,_,A,_,w,y,p,supp_esp_supp_lam
f,w,_,_,A,l,_,w,y,p,supp_esp
