@relation MyRelation

@attribute car_spec {A}
@attribute prec1_spec {b,n,h,w,'\'',*,l,m,E,r,y,d,$,D,j,k,q,s,t,v,H,z,A,f,S,g,T,'}',Z}
@attribute prec2_spec {H,y,b,l,A,S,E,n,m,f,h,d,<,'}',T,w,-,r,t,|,j,v,k,Z,>,$,D,s,q,*,x,z,&,'\'',g,'?'}
@attribute suiv1_spec {'\'',_,-}
@attribute suiv2_spec {-}
@attribute suiv3_spec {-}
@attribute deb1 {m,l,t,D,n,>,k,r,s,h,<,b,w,$,*,E,j,x,|,A,f,y,d,q,z,v,H,g,S,T,'?'}
@attribute deb2 {r,m,D,q,w,l,t,n,A,j,y,*,h,H,b,E,$,S,x,k,d,s,f,>,T,&,z,g,v,<,Z,'}','?',i}
@attribute fin1 {b,n,h,w,'\'',*,l,m,E,r,y,d,$,D,j,k,q,s,t,v,H,z,A,f,S,g,T,'}',Z}
@attribute fin2 {A,'\'',_}
@attribute classe {pas_changement,remp_alif_t}

@data
A,b,H,-,-,-,m,r,b,A,?
A,n,y,-,-,-,l,m,n,A,?
A,w,A,-,-,-,t,w,w,A,?
A,m,w,-,-,-,A,l,m,A,?
A,y,E,-,-,-,l,l,y,A,?
A,y,E,-,-,-,A,l,y,A,?
A,d,y,-,-,-,j,d,d,A,?
A,d,b,-,-,-,t,b,d,A,?
A,j,y,-,-,-,A,l,j,A,?
A,A,n,-,-,-,A,l,A,A,?
A,n,y,-,-,-,H,b,n,A,?
A,w,m,-,-,-,n,l,w,A,?
A,h,T,-,-,-,$,r,h,A,?
A,y,l,-,-,-,m,n,y,A,?
A,h,w,-,-,-,m,$,h,A,?
A,D,H,-,-,-,A,l,D,A,?
A,T,H,-,-,-,m,H,T,A,?
A,r,T,-,-,-,l,l,r,A,?
A,d,A,-,-,-,s,y,d,A,?
A,y,A,-,-,-,h,*,y,A,?
A,l,H,-,-,-,A,l,l,A,?
A,$,A,-,-,-,h,$,$,A,?
